?qid	?name
<http://www.wikidata.org/entity/Q106448072>	"Julie Rovner"@en
<http://www.wikidata.org/entity/Q1064593>	"Charles Grandison Rose"@de
<http://www.wikidata.org/entity/Q106465>	"Con Qrişam"@az
<http://www.wikidata.org/entity/Q1064692>	"Charles H. Percy"@ca
<http://www.wikidata.org/entity/Q1064695>	"Charles H. Taylor"@ast
<http://www.wikidata.org/entity/Q1064774>	"Charles Arthur Hayes"@fr
<http://www.wikidata.org/entity/Q10648>	"Gòrdan Mac a' Bhriuthainn"@gd
<http://www.wikidata.org/entity/Q106480279>	"Kathleen Plinske"@ast
<http://www.wikidata.org/entity/Q106481340>	"Susanna Blume"@de
<http://www.wikidata.org/entity/Q106490056>	"Jerry C. Davis"@ast
<http://www.wikidata.org/entity/Q106513>	"Richard Sonnenfeldt"@ast
<http://www.wikidata.org/entity/Q10652>	"Ailig Salmond"@gd
<http://www.wikidata.org/entity/Q1065216>	"Charles Krauthammer"@ast
<http://www.wikidata.org/entity/Q106522145>	"Max Miller"@ast
<http://www.wikidata.org/entity/Q106529099>	"Meredith Sumpter"@en
<http://www.wikidata.org/entity/Q106534716>	"Christopher C. Jeter"@en
<http://www.wikidata.org/entity/Q106540517>	"June Teufel Dreyer"@ca
<http://www.wikidata.org/entity/Q106543540>	"Sam Bankman-Fried"@af
<http://www.wikidata.org/entity/Q1065595>	"Charles A. Murray"@cs
<http://www.wikidata.org/entity/Q1065683>	"Charles Orville Whitley"@ast
<http://www.wikidata.org/entity/Q106570273>	"Graeme B. Dinwoodie"@pl
<http://www.wikidata.org/entity/Q1065727>	"Charles Pashayan"@de
<http://www.wikidata.org/entity/Q106579388>	"Mark Johnson"@ast
<http://www.wikidata.org/entity/Q106589463>	"Jamal Greene"@en
<http://www.wikidata.org/entity/Q1065931>	"Charles Britt"@it
<http://www.wikidata.org/entity/Q1065951>	"Charles Ruff"@ast
<http://www.wikidata.org/entity/Q106617240>	"Leila Nathoo"@an
<http://www.wikidata.org/entity/Q106638282>	"Stephen Wermiel"@de
<http://www.wikidata.org/entity/Q106688196>	"Amy Woolard"@en
<http://www.wikidata.org/entity/Q1066931>	"Charlie Luken"@ast
<http://www.wikidata.org/entity/Q106694209>	"Eduardo Gamarra"@ast
<http://www.wikidata.org/entity/Q106723477>	"Christina Campbell-Cline"@de
<http://www.wikidata.org/entity/Q106730251>	"Toby Stock"@de
<http://www.wikidata.org/entity/Q106804665>	"Sally Buzbee"@af
<http://www.wikidata.org/entity/Q106900901>	"Brenda Mallory"@ast
<http://www.wikidata.org/entity/Q106988676>	"Peter W. Wood"@de
<http://www.wikidata.org/entity/Q106997>	"Ceymi Li Körtis"@az
<http://www.wikidata.org/entity/Q107024052>	"DaMaris B. Hill"@en
<http://www.wikidata.org/entity/Q1070268>	"Peter Hessler"@ast
<http://www.wikidata.org/entity/Q107037>	"Leimaha Gbovī"@lv
<http://www.wikidata.org/entity/Q1070716>	"Chester G. Atkins"@ast
<http://www.wikidata.org/entity/Q107113613>	"Bruce C. Levine"@ast
<http://www.wikidata.org/entity/Q10711435>	"Henry D. Owen"@ast
<http://www.wikidata.org/entity/Q107168591>	"Cristina A. Bejan"@en
<http://www.wikidata.org/entity/Q1071782>	"Chic Hecht"@ast
<http://www.wikidata.org/entity/Q107292907>	"Carlos Monje"@en
<http://www.wikidata.org/entity/Q107296262>	"Ruth Ann Stewart"@af
<http://www.wikidata.org/entity/Q107299118>	"Matt Mahan"@ast
<http://www.wikidata.org/entity/Q107324579>	"Justin Shubow"@de
<http://www.wikidata.org/entity/Q107340439>	"David Asher"@de
<http://www.wikidata.org/entity/Q107358884>	"Benjamin Wallace-Wells"@de
<http://www.wikidata.org/entity/Q107380068>	"Carolyn N. Lerner"@ast
<http://www.wikidata.org/entity/Q107380107>	"Jennifer Sung"@ast
<http://www.wikidata.org/entity/Q107389111>	"Edward Yardeni"@en
<http://www.wikidata.org/entity/Q107394850>	"Lee Satterfield"@ast
<http://www.wikidata.org/entity/Q107437267>	"Alexander McCobin"@en
<http://www.wikidata.org/entity/Q1074506>	"Chip Cravaack"@ast
<http://www.wikidata.org/entity/Q1074614>	"Ishmael Beah"@ast
<http://www.wikidata.org/entity/Q107462802>	"Helen Andrews"@en
<http://www.wikidata.org/entity/Q107525181>	"Joe Wright"@en
<http://www.wikidata.org/entity/Q107570061>	"Barry Richard"@ast
<http://www.wikidata.org/entity/Q107588975>	"Julilly Kohler-Hausmann"@en
<http://www.wikidata.org/entity/Q1076090>	"Vivek Kundra"@ast
<http://www.wikidata.org/entity/Q107610092>	"Jonathan Kanter"@ast
<http://www.wikidata.org/entity/Q107667>	"Džons Jangs"@lv
<http://www.wikidata.org/entity/Q1076935>	"Chris Abani"@ast
<http://www.wikidata.org/entity/Q1076962>	"Chris Austin Hadfield"@de
<http://www.wikidata.org/entity/Q1076991>	"Chris Bell"@ast
<http://www.wikidata.org/entity/Q107707822>	"Shirin Sinnar"@en
<http://www.wikidata.org/entity/Q1077115>	"Chris Coleman"@ast
<http://www.wikidata.org/entity/Q107719141>	"J. Thomas Manger"@en
<http://www.wikidata.org/entity/Q1077380>	"Chris John"@ast
<http://www.wikidata.org/entity/Q1077474>	"Chris Lee"@ast
<http://www.wikidata.org/entity/Q107749533>	"Ralph Benko"@dag
<http://www.wikidata.org/entity/Q107751052>	"Michael C. Bender"@ast
<http://www.wikidata.org/entity/Q1077594>	"Chris Murphy"@ast
<http://www.wikidata.org/entity/Q1077819>	"Chris Van Hollen"@ast
<http://www.wikidata.org/entity/Q107863952>	"Shontel Brown"@af
<http://www.wikidata.org/entity/Q107957>	"Alexander Haig"@ca
<http://www.wikidata.org/entity/Q108010312>	"Mike Carey"@ast
<http://www.wikidata.org/entity/Q1081144>	"Rafael Palmeiro"@ast
<http://www.wikidata.org/entity/Q1081317>	"Christian Parenti"@ast
<http://www.wikidata.org/entity/Q108146377>	"Fred Guterl"@en
<http://www.wikidata.org/entity/Q108301435>	"David Bozell"@de
<http://www.wikidata.org/entity/Q108333790>	"Tamika Nunley"@en
<http://www.wikidata.org/entity/Q108366>	"Gregorijs Peks"@lv
<http://www.wikidata.org/entity/Q108419247>	"Catherine Lucey"@de
<http://www.wikidata.org/entity/Q108453737>	"Debra Reddin van Tuyll"@en
